['48.797606#2.354798#0', '48.812788#2.355480#0'] 17
['48.972447#2.312795#0', '48.952514#2.329164#0'] 12
['48.972447#2.312795#0', '48.960864#2.292833#0'] 15
['48.870816#2.173683#0', '48.850795#2.197025#1'] 16
['48.870816#2.173683#0', '48.886055#2.206972#1'] 12
['48.870816#2.173683#0', '48.881017#2.181312#0', '48.881017#2.181312#1'] 19
['48.959154#2.343378#0', '48.952514#2.329164#0'] 12
['48.959154#2.343378#0', '48.943009#2.355602#0'] 17
['48.959154#2.343378#0', '48.881393#2.361023#0'] 13
['48.749701#2.304646#0', '48.733322#2.263597#0'] 13
['48.672882#2.359563#0', '48.642067#2.339758#1'] 16
['48.959875#2.068960#0', '48.933113#2.155929#0'] 12
['48.840157#2.559514#0', '48.844546#2.574384#0'] 14
['48.840157#2.559514#0', '48.842811#2.547208#0'] 18
['48.840157#2.559514#0', '48.842811#2.547208#1'] 16
['48.767961#2.068747#0', '48.775712#2.042479#0', '48.767961#2.068747#1'] 17
['48.767961#2.068747#0', '48.775712#2.042479#1'] 21
['48.835357#2.497429#0', '48.825291#2.513902#1'] 13
['48.813764#2.377520#0', '48.790154#2.389585#0'] 13
['48.813764#2.377520#0', '48.811554#2.391267#0'] 18
['48.798896#2.375618#1', '48.797606#2.354798#1'] 15
['48.762973#2.414539#0', '48.761916#2.401613#1'] 15
['48.789058#2.322387#1', '48.788109#2.336435#1'] 21
['48.791012#2.124831#0', '48.809877#2.153303#0', '48.795647#2.141527#0'] 14
['48.791012#2.124831#0', '48.810726#2.124915#0', '48.795647#2.141527#0'] 15
['48.702721#2.462612#0', '48.729959#2.451201#0'] 15
['48.917178#2.476528#0', '48.903501#2.481000#0'] 14
['48.967970#2.257986#1', '48.983141#2.241394#1'] 14
['48.653926#2.392971#1', '48.654661#2.370519#1'] 14
['48.672882#2.359563#0', '48.653926#2.392971#1'] 13
['48.787640#2.281050#0', '48.789873#2.294063#1'] 12
['48.787640#2.281050#0', '48.789873#2.294063#0'] 33
['48.787640#2.281050#0', '48.806740#2.322037#1'] 12
['48.787640#2.281050#0', '48.782473#2.257900#1'] 22
['48.787640#2.281050#0', '48.807790#2.293207#0'] 12
['48.787640#2.281050#0', '48.782473#2.257900#0'] 23
['48.933494#2.426388#0', '48.926033#2.380985#0'] 13
['48.933494#2.426388#0', '48.951446#2.569178#0'] 12
['48.933494#2.426388#0', '48.923158#2.369625#0'] 14
['48.691485#2.361449#0', '48.699461#2.383516#0', '48.806311#2.414529#1'] 14
['48.798323#2.264890#1', '48.782473#2.257900#1'] 18
['48.782473#2.257900#0', '48.798323#2.264890#1'] 33
['48.818154#2.262416#1', '48.814474#2.246852#1'] 18
['48.832493#2.535334#0', '48.825291#2.513902#0'] 14
['48.832493#2.535334#0', '48.842811#2.547208#0'] 14
['48.678298#2.342256#1', '48.672882#2.359563#1'] 12
['48.916337#2.298345#1', '48.930941#2.295642#1'] 15
['48.916337#2.298345#1', '48.905792#2.305896#1'] 17
['48.905792#2.305896#0', '48.916337#2.298345#1'] 13
['48.926033#2.380985#1', '48.923158#2.369625#1'] 13
['48.903501#2.481000#0', '48.891446#2.462865#1'] 14
['48.905985#2.444557#0', '48.891446#2.462865#1'] 14
['48.880961#2.589011#1', '48.871431#2.578178#1'] 14
['48.779512#2.313083#0', '48.789058#2.322387#0'] 23
['48.779512#2.313083#0', '48.829582#2.337605#0'] 12
['48.672882#2.359563#0', '48.704263#2.360606#1'] 12
['48.787269#2.458662#0', '48.785903#2.446684#1'] 16
['48.787269#2.458662#0', '48.773931#2.457524#0'] 21
['48.787269#2.458662#0', '48.785903#2.446684#0'] 35
['48.886451#2.490017#0', '48.883788#2.511330#0'] 22
['48.937308#2.367457#1', '48.949062#2.374304#1'] 17
