['48.864097#2.361068#1', '48.856729#2.351007#1'] 21
['48.861963#2.335616#0', '48.864097#2.361068#1'] 28
['48.857107#2.360988#1', '48.861005#2.364760#1'] 47
['48.857107#2.360988#1', '48.858336#2.355931#1'] 67
['48.864097#2.361068#0', '48.857107#2.360988#1'] 21
['48.861005#2.364760#0', '48.857107#2.360988#1'] 31
['48.858336#2.355931#0', '48.857107#2.360988#1'] 40
['48.857107#2.360988#1', '48.860468#2.351741#1'] 29
['48.857107#2.360988#1', '48.853076#2.348191#1'] 30
['48.857107#2.360988#1', '48.861963#2.335616#1'] 26
['48.857107#2.360988#1', '48.856729#2.351007#1'] 42
['48.856729#2.351007#0', '48.857107#2.360988#1'] 22
['48.861963#2.335616#0', '48.857107#2.360988#1'] 25
['48.855393#2.343176#1', '48.873868#2.295474#1'] 25
['48.855393#2.343176#1', '48.886342#2.342193#1'] 25
['48.855393#2.343176#1', '48.858574#2.298731#1'] 21
['48.855393#2.343176#1', '48.860468#2.351741#1'] 22
['48.855393#2.343176#1', '48.858221#2.294241#1'] 28
['48.866289#2.312551#0', '48.855393#2.343176#1'] 29
['48.853076#2.348191#0', '48.855393#2.343176#1'] 29
['48.855393#2.343176#1', '48.853076#2.348191#1'] 111
['48.855393#2.343176#1', '48.871809#2.332093#1'] 23
['48.855393#2.343176#1', '48.861963#2.335616#1'] 56
['48.855393#2.343176#1', '48.856729#2.351007#1'] 52
['48.856729#2.351007#0', '48.855393#2.343176#1'] 26
['48.861963#2.335616#0', '48.855393#2.343176#1'] 32
['48.870106#2.300457#0', '48.869421#2.321298#0'] 20
['48.870106#2.300457#0', '48.863327#2.288239#0'] 20
['48.870106#2.300457#0', '48.870409#2.309022#1'] 26
['48.870106#2.300457#0', '48.873868#2.295474#0'] 67
['48.870106#2.300457#0', '48.866972#2.306380#0'] 38
